GameIndex,MoveNumber,CurrentPlayer,MoveType,FromVertex,ToVertex,ChipsRemaining,WhiteScore,BlackScore,CoinsFlippedVertices,GameResult
1,1,white,RingPlacement,-1,12,51,0,0,,
1,2,black,RingPlacement,-1,49,51,0,0,,
1,3,white,RingPlacement,-1,71,51,0,0,,
1,4,black,RingPlacement,-1,33,51,0,0,,
1,5,white,RingPlacement,-1,55,51,0,0,,
1,6,black,RingPlacement,-1,61,51,0,0,,
1,7,white,RingPlacement,-1,58,51,0,0,,
1,8,black,RingPlacement,-1,26,51,0,0,,
1,9,white,RingPlacement,-1,9,51,0,0,,
1,10,black,RingPlacement,-1,82,51,0,0,,
1,11,white,RingMovement,55,8,50,0,0,,
1,12,black,RingMovement,26,21,49,0,0,,
1,13,white,RingMovement,58,59,48,0,0,,
1,14,black,RingMovement,33,68,47,0,0,,
1,15,white,RingMovement,71,36,46,0,0,,
1,16,black,RingMovement,61,17,45,0,0,,
1,17,white,RingMovement,9,10,44,0,0,,
1,18,black,RingMovement,17,81,43,0,0,61,
1,19,white,RingMovement,59,41,42,0,0,,
1,20,black,RingMovement,81,67,41,0,0,,
1,21,white,RingMovement,36,83,40,0,0,71,
1,22,black,RingMovement,82,70,39,0,0,,
1,23,white,RingMovement,8,32,38,0,0,,
1,24,black,RingMovement,67,66,37,0,0,,
1,25,white,RingMovement,41,43,36,0,0,,
1,26,black,RingMovement,70,77,35,0,0,,
1,27,white,RingMovement,83,63,34,0,0,71,
1,28,black,RingMovement,21,23,33,0,0,,
1,29,white,RingMovement,63,53,32,0,0,,
1,30,black,RingMovement,77,79,31,0,0,,
1,31,white,RingMovement,53,50,30,0,0,,
1,32,black,RingMovement,68,72,29,0,0,70;71,
1,33,white,RingMovement,10,18,28,0,0,,
1,34,black,RingMovement,23,24,27,0,0,,
1,35,white,RingMovement,50,69,26,0,0,,
1,36,black,RingMovement,79,76,25,0,0,77,
1,37,white,RingMovement,69,30,24,0,0,50,
1,38,black,RingMovement,72,46,23,0,0,55,
1,39,white,RingMovement,30,39,22,0,0,,
1,40,black,RingMovement,46,45,21,0,0,,
1,41,white,RingMovement,18,14,20,0,0,17,
1,42,black,RingMovement,49,40,19,0,0,,
1,43,white,RingMovement,32,34,18,0,0,33,
1,44,black,RingMovement,66,73,17,0,0,67;68;69;70;71;72,
1,45,white,RingMovement,12,84,16,0,0,21;41;61;70,
1,46,black,RingMovement,45,35,15,0,0,,
1,47,white,RingMovement,43,44,19,1,0,,
1,48,white,RingMovement,14,33,18,1,0,23,
1,49,black,RingMovement,76,80,17,1,0,77;79,
1,50,white,RingMovement,39,48,16,1,0,,
1,51,black,RingMovement,35,44,15,1,0,,
1,52,white,RingMovement,84,64,14,1,0,79,
1,53,black,RingMovement,44,53,13,1,0,,
1,54,white,RingMovement,33,0,12,1,0,23;14,
1,55,black,RingMovement,40,11,11,1,0,30,
1,56,white,RingMovement,48,38,10,1,0,,
1,57,black,RingMovement,24,19,9,1,0,23;21,
1,58,white,RingMovement,64,57,8,1,0,61;59;58,
1,59,black,RingMovement,73,65,7,1,0,,
1,60,white,RingMovement,57,6,6,1,0,48;39;30;21,
1,61,black,RingMovement,53,51,5,1,0,,
1,62,white,RingMovement,38,42,4,1,0,39;40;41,
1,63,black,RingMovement,51,47,8,2,0,50;49;48,
1,64,white,RingMovement,34,29,7,2,0,33;32,
1,65,black,RingMovement,80,63,6,2,0,,
1,66,white,RingMovement,0,2,5,2,0,,
1,67,black,RingMovement,63,43,4,2,0,53,
1,68,white,RingMovement,2,25,3,2,0,8,
1,69,black,RingMovement,11,20,2,2,0,,
1,70,white,RingMovement,6,13,1,2,0,,
1,71,black,RingMovement,20,22,0,2,0,,draw
