GameIndex,MoveNumber,CurrentPlayer,MoveType,FromVertex,ToVertex,ChipsRemaining,WhiteScore,BlackScore,CoinsFlippedVertices,GameResult
1,1,white,RingPlacement,-1,73,51,0,0,,
1,2,black,RingPlacement,-1,82,51,0,0,,
1,3,white,RingPlacement,-1,76,51,0,0,,
1,4,black,RingPlacement,-1,57,51,0,0,,
1,5,white,RingPlacement,-1,12,51,0,0,,
1,6,black,RingPlacement,-1,46,51,0,0,,
1,7,white,RingPlacement,-1,79,51,0,0,,
1,8,black,RingPlacement,-1,40,51,0,0,,
1,9,white,RingPlacement,-1,20,51,0,0,,
1,10,black,RingPlacement,-1,15,51,0,0,,
1,11,white,RingMovement,73,69,50,0,0,,
1,12,black,RingMovement,15,14,49,0,0,,
1,13,white,RingMovement,12,11,48,0,0,,
1,14,black,RingMovement,14,13,47,0,0,,
1,15,white,RingMovement,76,29,46,0,0,,
1,16,black,RingMovement,46,45,45,0,0,,
1,17,white,RingMovement,29,59,44,0,0,,
1,18,black,RingMovement,13,16,43,0,0,14;15,
1,19,white,RingMovement,69,50,42,0,0,,
1,20,black,RingMovement,57,58,41,0,0,,
1,21,white,RingMovement,79,74,40,0,0,76,
1,22,black,RingMovement,16,17,39,0,0,,
1,23,white,RingMovement,74,67,38,0,0,,
1,24,black,RingMovement,58,48,37,0,0,,
1,25,white,RingMovement,59,19,36,0,0,29,
1,26,black,RingMovement,45,44,35,0,0,,
1,27,white,RingMovement,20,23,34,0,0,,
1,28,black,RingMovement,17,18,33,0,0,,
1,29,white,RingMovement,67,71,32,0,0,69,
1,30,black,RingMovement,44,43,31,0,0,,
1,31,white,RingMovement,19,28,30,0,0,,
1,32,black,RingMovement,40,39,29,0,0,,
1,33,white,RingMovement,28,35,28,0,0,29,
1,34,black,RingMovement,82,81,27,0,0,,
1,35,white,RingMovement,35,70,26,0,0,44,
1,36,black,RingMovement,18,10,25,0,0,,
1,37,white,RingMovement,71,78,24,0,0,,
1,38,black,RingMovement,81,83,23,0,0,82,
1,39,white,RingMovement,23,8,22,0,0,15,
1,40,black,RingMovement,83,84,21,0,0,,
1,41,white,RingMovement,78,27,20,0,0,71;45,
1,42,black,RingMovement,48,47,19,0,0,,
1,43,white,RingMovement,11,30,18,0,0,20,
1,44,black,RingMovement,39,38,17,0,0,,
1,45,white,RingMovement,8,7,16,0,0,,
1,46,black,RingMovement,84,72,15,0,0,79,
1,47,white,RingMovement,70,68,14,0,0,69,
1,48,black,RingMovement,10,9,13,0,0,,
1,49,white,RingMovement,50,49,12,0,0,,
1,50,black,RingMovement,43,42,11,0,0,,
1,51,white,RingMovement,7,34,10,0,0,15,
1,52,black,RingMovement,72,63,9,0,0,,
1,53,white,RingMovement,68,60,8,0,0,,
1,54,black,RingMovement,9,6,7,0,0,8;7,
1,55,white,RingMovement,60,61,6,0,0,,
1,56,black,RingMovement,42,41,5,0,0,,
1,57,white,RingMovement,49,55,4,0,0,50,
1,58,black,RingMovement,6,5,8,0,1,,
1,59,black,RingMovement,63,62,7,0,1,,
1,60,white,RingMovement,61,52,6,0,1,,
1,61,black,RingMovement,38,75,5,0,1,48;58;67,
1,62,white,RingMovement,55,2,4,0,1,45;35;16,
1,63,black,RingMovement,41,31,8,0,2,,
1,64,black,RingMovement,62,64,7,0,2,63,
1,65,white,RingMovement,30,40,6,0,2,,
1,66,black,RingMovement,75,77,10,1,2,76,
1,67,white,RingMovement,40,39,9,1,2,,
1,68,black,RingMovement,31,32,8,1,2,,
1,69,white,RingMovement,39,68,7,1,2,,
1,70,black,RingMovement,32,33,6,1,2,,
1,71,white,RingMovement,34,37,5,1,2,35,
1,72,black,RingMovement,64,59,4,1,2,63;62;61;60,
1,73,white,RingMovement,27,22,3,1,2,23,
1,74,black,RingMovement,33,36,7,1,3,34;35,black
