GameIndex,MoveNumber,CurrentPlayer,MoveType,FromVertex,ToVertex,ChipsRemaining,WhiteScore,BlackScore,CoinsFlippedVertices,GameResult
1,1,white,RingPlacement,-1,49,51,0,0,,
1,2,black,RingPlacement,-1,57,51,0,0,,
1,3,white,RingPlacement,-1,20,51,0,0,,
1,4,black,RingPlacement,-1,76,51,0,0,,
1,5,white,RingPlacement,-1,22,51,0,0,,
1,6,black,RingPlacement,-1,3,51,0,0,,
1,7,white,RingPlacement,-1,26,51,0,0,,
1,8,black,RingPlacement,-1,79,51,0,0,,
1,9,white,RingPlacement,-1,73,51,0,0,,
1,10,black,RingPlacement,-1,80,51,0,0,,
1,11,white,RingMovement,73,72,50,0,0,,
1,12,black,RingMovement,76,75,49,0,0,,
1,13,white,RingMovement,49,48,48,0,0,,
1,14,black,RingMovement,3,2,47,0,0,,
1,15,white,RingMovement,20,19,46,0,0,,
1,16,black,RingMovement,2,1,45,0,0,,
1,17,white,RingMovement,19,21,44,0,0,20,
1,18,black,RingMovement,57,58,43,0,0,,
1,19,white,RingMovement,21,12,42,0,0,,
1,20,black,RingMovement,75,74,41,0,0,,
1,21,white,RingMovement,72,71,40,0,0,,
1,22,black,RingMovement,1,0,39,0,0,,
1,23,white,RingMovement,48,47,38,0,0,,
1,24,black,RingMovement,80,63,37,0,0,72,
1,25,white,RingMovement,12,11,36,0,0,,
1,26,black,RingMovement,74,77,35,0,0,75;76,
1,27,white,RingMovement,22,23,34,0,0,,
1,28,black,RingMovement,0,6,33,0,0,,
1,29,white,RingMovement,23,24,32,0,0,,
1,30,black,RingMovement,58,59,31,0,0,,
1,31,white,RingMovement,26,25,30,0,0,,
1,32,black,RingMovement,6,5,29,0,0,,
1,33,white,RingMovement,71,70,28,0,0,,
1,34,black,RingMovement,79,78,27,0,0,,
1,35,white,RingMovement,47,50,26,0,0,48;49,
1,36,black,RingMovement,5,4,25,0,0,,
1,37,white,RingMovement,70,69,24,0,0,,
1,38,black,RingMovement,4,7,23,0,0,5;6,
1,39,white,RingMovement,50,51,22,0,0,,
1,40,black,RingMovement,7,8,21,0,0,,
1,41,white,RingMovement,69,68,20,0,0,,
1,42,black,RingMovement,59,60,19,0,0,,
1,43,white,RingMovement,25,27,18,0,0,26,
1,44,black,RingMovement,63,62,17,0,0,,
1,45,white,RingMovement,27,18,16,0,0,,
1,46,black,RingMovement,62,61,15,0,0,,
1,47,white,RingMovement,68,67,14,0,0,,
1,48,black,RingMovement,61,64,13,0,0,62;63,
1,49,white,RingMovement,11,13,12,0,0,12,
1,50,black,RingMovement,77,83,11,0,0,,
1,51,white,RingMovement,67,66,15,1,0,,
1,52,white,RingMovement,13,14,14,1,0,,
1,53,black,RingMovement,60,40,18,1,1,50,
1,54,black,RingMovement,64,61,17,1,1,63;62,
1,55,white,RingMovement,14,15,16,1,1,,
1,56,black,RingMovement,40,39,15,1,1,,
1,57,white,RingMovement,24,34,19,2,1,,
1,58,white,RingMovement,15,16,18,2,1,,
1,59,black,RingMovement,39,38,17,2,1,,
1,60,white,RingMovement,66,67,16,2,1,,
1,61,black,RingMovement,78,70,15,2,1,,
1,62,white,RingMovement,16,17,14,2,1,,
1,63,black,RingMovement,70,69,13,2,1,,
1,64,white,RingMovement,67,68,12,2,1,,
1,65,black,RingMovement,38,41,11,2,1,39;40,
1,66,white,RingMovement,17,18,15,3,1,,white
2,1,white,RingPlacement,-1,47,51,0,0,,
2,2,black,RingPlacement,-1,21,51,0,0,,
2,3,white,RingPlacement,-1,33,51,0,0,,
2,4,black,RingPlacement,-1,5,51,0,0,,
2,5,white,RingPlacement,-1,10,51,0,0,,
2,6,black,RingPlacement,-1,22,51,0,0,,
2,7,white,RingPlacement,-1,67,51,0,0,,
2,8,black,RingPlacement,-1,19,51,0,0,,
2,9,white,RingPlacement,-1,6,51,0,0,,
2,10,black,RingPlacement,-1,35,51,0,0,,
2,11,white,RingMovement,67,66,50,0,0,,
2,12,black,RingMovement,22,23,49,0,0,,
2,13,white,RingMovement,66,68,48,0,0,67,
2,14,black,RingMovement,35,34,47,0,0,,
2,15,white,RingMovement,33,32,46,0,0,,
2,16,black,RingMovement,23,24,45,0,0,,
2,17,white,RingMovement,68,69,44,0,0,,
2,18,black,RingMovement,19,20,43,0,0,,
2,19,white,RingMovement,6,7,42,0,0,,
2,20,black,RingMovement,20,11,41,0,0,,
2,21,white,RingMovement,47,48,40,0,0,,
2,22,black,RingMovement,5,4,39,0,0,,
2,23,white,RingMovement,48,49,38,0,0,,
2,24,black,RingMovement,21,12,42,0,1,,
2,25,black,RingMovement,11,20,41,0,1,,
2,26,white,RingMovement,7,8,40,0,1,,
2,27,black,RingMovement,12,13,39,0,1,,
2,28,white,RingMovement,49,50,38,0,1,,
2,29,black,RingMovement,34,36,37,0,1,35,
2,30,white,RingMovement,8,9,36,0,1,,
2,31,black,RingMovement,13,14,35,0,1,,
2,32,white,RingMovement,10,18,34,0,1,,
2,33,black,RingMovement,14,15,33,0,1,,
2,34,white,RingMovement,69,70,32,0,1,,
2,35,black,RingMovement,36,37,31,0,1,,
2,36,white,RingMovement,70,71,30,0,1,,
2,37,black,RingMovement,15,16,34,0,2,,
2,38,black,RingMovement,20,19,33,0,2,,
2,39,white,RingMovement,9,3,37,1,2,,
2,40,white,RingMovement,50,51,36,1,2,,
2,41,black,RingMovement,4,6,35,1,2,5,
2,42,white,RingMovement,3,2,34,1,2,,
2,43,black,RingMovement,6,7,33,1,2,,
2,44,white,RingMovement,51,52,37,2,2,,
2,45,white,RingMovement,2,1,36,2,2,,
2,46,black,RingMovement,37,32,35,2,2,36;35;34;33,
2,47,white,RingMovement,1,0,34,2,2,,
2,48,black,RingMovement,32,31,33,2,2,,
2,49,white,RingMovement,71,72,32,2,2,,
2,50,black,RingMovement,19,21,31,2,2,20,
2,51,white,RingMovement,0,14,30,2,2,6,
2,52,black,RingMovement,21,22,29,2,2,,
2,53,white,RingMovement,72,73,33,3,2,,white
3,1,white,RingPlacement,-1,42,51,0,0,,
3,2,black,RingPlacement,-1,6,51,0,0,,
3,3,white,RingPlacement,-1,19,51,0,0,,
3,4,black,RingPlacement,-1,79,51,0,0,,
3,5,white,RingPlacement,-1,55,51,0,0,,
3,6,black,RingPlacement,-1,8,51,0,0,,
3,7,white,RingPlacement,-1,53,51,0,0,,
3,8,black,RingPlacement,-1,18,51,0,0,,
3,9,white,RingPlacement,-1,28,51,0,0,,
3,10,black,RingPlacement,-1,77,51,0,0,,
3,11,white,RingMovement,42,41,50,0,0,,
3,12,black,RingMovement,8,7,49,0,0,,
3,13,white,RingMovement,19,20,48,0,0,,
3,14,black,RingMovement,7,9,47,0,0,8,
3,15,white,RingMovement,28,29,46,0,0,,
3,16,black,RingMovement,77,76,45,0,0,,
3,17,white,RingMovement,55,54,44,0,0,,
3,18,black,RingMovement,76,75,43,0,0,,
3,19,white,RingMovement,54,56,42,0,0,55,
3,20,black,RingMovement,9,10,41,0,0,,
3,21,white,RingMovement,41,40,40,0,0,,
3,22,black,RingMovement,18,17,39,0,0,,
3,23,white,RingMovement,40,39,38,0,0,,
3,24,black,RingMovement,17,16,37,0,0,,
3,25,white,RingMovement,20,21,36,0,0,,
3,26,black,RingMovement,75,74,35,0,0,,
3,27,white,RingMovement,21,22,34,0,0,,
3,28,black,RingMovement,10,27,33,0,0,18,
3,29,white,RingMovement,39,38,32,0,0,,
3,30,black,RingMovement,16,15,31,0,0,,
3,31,white,RingMovement,22,23,30,0,0,,
3,32,black,RingMovement,6,5,29,0,0,,
3,33,white,RingMovement,53,52,28,0,0,,
3,34,black,RingMovement,15,14,27,0,0,,
3,35,white,RingMovement,29,30,26,0,0,,
3,36,black,RingMovement,27,26,25,0,0,,
3,37,white,RingMovement,38,43,24,0,0,39;40;41;42,
3,38,black,RingMovement,5,4,23,0,0,,
3,39,white,RingMovement,56,46,22,0,0,,
3,40,black,RingMovement,74,78,21,0,0,75;76;77,
3,41,white,RingMovement,52,51,20,0,0,,
3,42,black,RingMovement,79,80,19,0,0,,
3,43,white,RingMovement,30,31,18,0,0,,
3,44,black,RingMovement,26,25,17,0,0,,
3,45,white,RingMovement,46,45,16,0,0,,
3,46,black,RingMovement,78,70,15,0,0,,
3,47,white,RingMovement,43,44,14,0,0,,
3,48,black,RingMovement,4,12,13,0,0,,
3,49,white,RingMovement,31,32,12,0,0,,
3,50,black,RingMovement,25,24,11,0,0,,
3,51,white,RingMovement,51,50,10,0,0,,
3,52,black,RingMovement,70,69,9,0,0,,
3,53,white,RingMovement,45,35,8,0,0,,
3,54,black,RingMovement,80,72,7,0,0,,
3,55,white,RingMovement,35,34,6,0,0,,
3,56,black,RingMovement,72,71,5,0,0,,
3,57,white,RingMovement,32,33,9,1,0,,
3,58,white,RingMovement,33,32,8,1,0,,
3,59,black,RingMovement,71,73,7,1,0,72,
3,60,white,RingMovement,34,36,6,1,0,35,
3,61,black,RingMovement,73,64,5,1,0,,
3,62,white,RingMovement,44,62,4,1,0,53,
3,63,black,RingMovement,24,23,3,1,0,,
3,64,white,RingMovement,36,37,2,1,0,,
3,65,black,RingMovement,69,68,1,1,0,,
3,66,white,RingMovement,50,49,0,1,0,,draw
4,1,white,RingPlacement,-1,65,51,0,0,,
4,2,black,RingPlacement,-1,16,51,0,0,,
4,3,white,RingPlacement,-1,26,51,0,0,,
4,4,black,RingPlacement,-1,69,51,0,0,,
4,5,white,RingPlacement,-1,53,51,0,0,,
4,6,black,RingPlacement,-1,64,51,0,0,,
4,7,white,RingPlacement,-1,58,51,0,0,,
4,8,black,RingPlacement,-1,78,51,0,0,,
4,9,white,RingPlacement,-1,56,51,0,0,,
4,10,black,RingPlacement,-1,68,51,0,0,,
4,11,white,RingMovement,56,55,50,0,0,,
4,12,black,RingMovement,78,77,49,0,0,,
4,13,white,RingMovement,53,52,48,0,0,,
4,14,black,RingMovement,69,70,47,0,0,,
4,15,white,RingMovement,58,57,46,0,0,,
4,16,black,RingMovement,68,67,45,0,0,,
4,17,white,RingMovement,26,25,44,0,0,,
4,18,black,RingMovement,64,63,43,0,0,,
4,19,white,RingMovement,52,51,42,0,0,,
4,20,black,RingMovement,70,71,41,0,0,,
4,21,white,RingMovement,57,59,40,0,0,58,
4,22,black,RingMovement,71,72,39,0,0,,
4,23,white,RingMovement,65,73,38,0,0,,
4,24,black,RingMovement,63,62,37,0,0,,
4,25,white,RingMovement,73,54,36,0,0,64,
4,26,black,RingMovement,16,15,35,0,0,,
4,27,white,RingMovement,25,24,34,0,0,,
4,28,black,RingMovement,77,76,33,0,0,,
4,29,white,RingMovement,54,44,32,0,0,,
4,30,black,RingMovement,67,66,36,0,1,,
4,31,black,RingMovement,72,71,35,0,1,,
4,32,white,RingMovement,24,23,34,0,1,,
4,33,black,RingMovement,71,70,33,0,1,,
4,34,white,RingMovement,51,50,32,0,1,,
4,35,black,RingMovement,76,75,31,0,1,,
4,36,white,RingMovement,23,22,30,0,1,,
4,37,black,RingMovement,66,67,29,0,1,,
4,38,white,RingMovement,50,49,33,1,1,,
4,39,white,RingMovement,22,21,37,2,1,,
4,40,white,RingMovement,49,48,36,2,1,,
4,41,black,RingMovement,75,74,35,2,1,,
4,42,white,RingMovement,48,47,34,2,1,,
4,43,black,RingMovement,15,14,33,2,1,,
4,44,white,RingMovement,47,50,32,2,1,48;49,
4,45,black,RingMovement,67,68,31,2,1,,
4,46,white,RingMovement,44,43,30,2,1,,
4,47,black,RingMovement,68,69,29,2,1,,
4,48,white,RingMovement,50,51,28,2,1,,
4,49,black,RingMovement,74,79,27,2,1,75;76;77;78,
4,50,white,RingMovement,43,42,26,2,1,,
4,51,black,RingMovement,70,61,25,2,1,,
4,52,white,RingMovement,42,41,24,2,1,,
4,53,black,RingMovement,69,60,28,2,2,,
4,54,black,RingMovement,60,59,27,2,2,,
4,55,white,RingMovement,51,52,26,2,2,,
4,56,black,RingMovement,59,39,25,2,2,49,
4,57,white,RingMovement,52,53,24,2,2,,
4,58,black,RingMovement,79,80,23,2,2,,
4,59,white,RingMovement,55,54,22,2,2,,
4,60,black,RingMovement,61,62,21,2,2,,
4,61,white,RingMovement,54,34,20,2,2,44,
4,62,black,RingMovement,80,72,19,2,2,,
4,63,white,RingMovement,53,33,23,3,2,43,white
5,1,white,RingPlacement,-1,21,51,0,0,,
5,2,black,RingPlacement,-1,36,51,0,0,,
5,3,white,RingPlacement,-1,77,51,0,0,,
5,4,black,RingPlacement,-1,80,51,0,0,,
5,5,white,RingPlacement,-1,8,51,0,0,,
5,6,black,RingPlacement,-1,59,51,0,0,,
5,7,white,RingPlacement,-1,52,51,0,0,,
5,8,black,RingPlacement,-1,37,51,0,0,,
5,9,white,RingPlacement,-1,4,51,0,0,,
5,10,black,RingPlacement,-1,76,51,0,0,,
5,11,white,RingMovement,8,7,50,0,0,,
5,12,black,RingMovement,36,35,49,0,0,,
5,13,white,RingMovement,7,6,48,0,0,,
5,14,black,RingMovement,59,58,47,0,0,,
5,15,white,RingMovement,4,5,46,0,0,,
5,16,black,RingMovement,80,79,45,0,0,,
5,17,white,RingMovement,52,51,44,0,0,,
5,18,black,RingMovement,79,78,43,0,0,,
5,19,white,RingMovement,6,9,42,0,0,7;8,
5,20,black,RingMovement,35,34,41,0,0,,
5,21,white,RingMovement,21,20,40,0,0,,
5,22,black,RingMovement,78,70,39,0,0,,
5,23,white,RingMovement,77,69,38,0,0,,
5,24,black,RingMovement,37,27,37,0,0,,
5,25,white,RingMovement,9,10,36,0,0,,
5,26,black,RingMovement,70,71,35,0,0,,
5,27,white,RingMovement,69,68,34,0,0,,
5,28,black,RingMovement,34,33,33,0,0,,
5,29,white,RingMovement,20,19,32,0,0,,
5,30,black,RingMovement,71,72,31,0,0,,
5,31,white,RingMovement,51,50,30,0,0,,
5,32,black,RingMovement,76,75,29,0,0,,
5,33,white,RingMovement,19,22,28,0,0,20;21,
5,34,black,RingMovement,72,73,27,0,0,,
5,35,white,RingMovement,50,49,26,0,0,,
5,36,black,RingMovement,27,26,25,0,0,,
5,37,white,RingMovement,68,67,24,0,0,,
5,38,black,RingMovement,33,32,28,0,1,,
5,39,black,RingMovement,73,64,27,0,1,,
5,40,white,RingMovement,10,18,26,0,1,,
5,41,black,RingMovement,64,63,25,0,1,,
5,42,white,RingMovement,49,48,24,0,1,,
5,43,black,RingMovement,63,62,23,0,1,,
5,44,white,RingMovement,18,17,22,0,1,,
5,45,black,RingMovement,32,31,21,0,1,,
5,46,white,RingMovement,48,47,25,1,1,,
5,47,white,RingMovement,22,23,24,1,1,,
5,48,black,RingMovement,75,74,23,1,1,,
5,49,white,RingMovement,23,24,22,1,1,,
5,50,black,RingMovement,31,30,21,1,1,,
5,51,white,RingMovement,5,13,20,1,1,,
5,52,black,RingMovement,26,25,19,1,1,,
5,53,white,RingMovement,67,66,18,1,1,,
5,54,black,RingMovement,25,16,17,1,1,,
5,55,white,RingMovement,13,12,16,1,1,,
5,56,black,RingMovement,16,15,15,1,1,,
5,57,white,RingMovement,47,48,14,1,1,,
5,58,black,RingMovement,62,61,13,1,1,,
5,59,white,RingMovement,24,34,12,1,1,,
5,60,black,RingMovement,61,60,11,1,1,,
5,61,white,RingMovement,34,33,10,1,1,,
5,62,black,RingMovement,15,14,9,1,1,,
5,63,white,RingMovement,48,49,8,1,1,,
5,64,black,RingMovement,30,29,7,1,1,,
5,65,white,RingMovement,66,57,6,1,1,,
5,66,black,RingMovement,60,58,10,1,2,59,
5,67,black,RingMovement,14,17,9,1,2,15;16,
5,68,white,RingMovement,33,29,13,2,2,32;31;30,
5,69,white,RingMovement,29,28,12,2,2,,
5,70,black,RingMovement,17,12,11,2,2,16;15;14;13,
5,71,white,RingMovement,49,50,10,2,2,,
5,72,black,RingMovement,12,11,9,2,2,,
5,73,white,RingMovement,57,39,8,2,2,48,
5,74,black,RingMovement,58,60,7,2,2,59,
5,75,white,RingMovement,39,38,6,2,2,,
5,76,black,RingMovement,11,30,5,2,2,20,
5,77,white,RingMovement,50,51,4,2,2,,
5,78,black,RingMovement,74,41,8,3,2,67;59;50,white
6,1,white,RingPlacement,-1,71,51,0,0,,
6,2,black,RingPlacement,-1,15,51,0,0,,
6,3,white,RingPlacement,-1,7,51,0,0,,
6,4,black,RingPlacement,-1,11,51,0,0,,
6,5,white,RingPlacement,-1,5,51,0,0,,
6,6,black,RingPlacement,-1,64,51,0,0,,
6,7,white,RingPlacement,-1,63,51,0,0,,
6,8,black,RingPlacement,-1,1,51,0,0,,
6,9,white,RingPlacement,-1,52,51,0,0,,
6,10,black,RingPlacement,-1,9,51,0,0,,
6,11,white,RingMovement,7,6,50,0,0,,
6,12,black,RingMovement,64,65,49,0,0,,
6,13,white,RingMovement,6,8,48,0,0,7,
6,14,black,RingMovement,15,14,47,0,0,,
6,15,white,RingMovement,5,4,46,0,0,,
6,16,black,RingMovement,14,13,45,0,0,,
6,17,white,RingMovement,71,70,44,0,0,,
6,18,black,RingMovement,11,12,43,0,0,,
6,19,white,RingMovement,4,19,42,0,0,11,
6,20,black,RingMovement,12,21,41,0,0,,
6,21,white,RingMovement,19,20,40,0,0,,
6,22,black,RingMovement,13,16,39,0,0,14;15,
6,23,white,RingMovement,70,69,38,0,0,,
6,24,black,RingMovement,9,10,37,0,0,,
6,25,white,RingMovement,52,51,36,0,0,,
6,26,black,RingMovement,10,18,35,0,0,,
6,27,white,RingMovement,69,68,34,0,0,,
6,28,black,RingMovement,18,17,33,0,0,,
6,29,white,RingMovement,20,30,32,0,0,,
6,30,black,RingMovement,1,0,31,0,0,,
6,31,white,RingMovement,63,62,30,0,0,,
6,32,black,RingMovement,65,55,29,0,0,,
6,33,white,RingMovement,30,29,28,0,0,,
6,34,black,RingMovement,21,22,27,0,0,,
6,35,white,RingMovement,62,61,26,0,0,,
6,36,black,RingMovement,17,3,25,0,0,9,
6,37,white,RingMovement,68,67,24,0,0,,
6,38,black,RingMovement,22,23,23,0,0,,
6,39,white,RingMovement,29,28,22,0,0,,
6,40,black,RingMovement,23,24,21,0,0,,
6,41,white,RingMovement,67,66,25,1,0,,
6,42,white,RingMovement,51,50,24,1,0,,
6,43,black,RingMovement,0,2,23,1,0,1,
6,44,white,RingMovement,28,31,22,1,0,29;30,
6,45,black,RingMovement,24,25,21,1,0,,
6,46,white,RingMovement,50,49,20,1,0,,
6,47,black,RingMovement,55,54,19,1,0,,
6,48,white,RingMovement,61,60,18,1,0,,
6,49,black,RingMovement,16,33,17,1,0,24,
6,50,white,RingMovement,8,32,16,1,0,15;23,
6,51,black,RingMovement,25,26,15,1,0,,
6,52,white,RingMovement,31,41,14,1,0,,
6,53,black,RingMovement,33,34,13,1,0,,
6,54,white,RingMovement,32,42,12,1,0,,
6,55,black,RingMovement,34,35,11,1,0,,
6,56,white,RingMovement,42,43,10,1,0,,
6,57,black,RingMovement,2,40,14,2,0,7;14;22;31,
6,58,white,RingMovement,41,70,13,2,0,51;61,
6,59,black,RingMovement,54,53,12,2,0,,
6,60,white,RingMovement,43,44,11,2,0,,
6,61,black,RingMovement,26,27,10,2,0,,
6,62,white,RingMovement,60,59,9,2,0,,
6,63,black,RingMovement,27,37,8,2,0,,
6,64,white,RingMovement,59,58,12,3,0,,white
7,1,white,RingPlacement,-1,52,51,0,0,,
7,2,black,RingPlacement,-1,30,51,0,0,,
7,3,white,RingPlacement,-1,37,51,0,0,,
7,4,black,RingPlacement,-1,0,51,0,0,,
7,5,white,RingPlacement,-1,4,51,0,0,,
7,6,black,RingPlacement,-1,76,51,0,0,,
7,7,white,RingPlacement,-1,72,51,0,0,,
7,8,black,RingPlacement,-1,48,51,0,0,,
7,9,white,RingPlacement,-1,2,51,0,0,,
7,10,black,RingPlacement,-1,40,51,0,0,,
7,11,white,RingMovement,37,36,50,0,0,,
7,12,black,RingMovement,76,75,49,0,0,,
7,13,white,RingMovement,72,71,48,0,0,,
7,14,black,RingMovement,30,29,47,0,0,,
7,15,white,RingMovement,36,35,46,0,0,,
7,16,black,RingMovement,40,39,45,0,0,,
